Car No.,Driver,Team,Engine,Rounds,year
21,Spencer Pigot,Ed Carpenter Racing,Chevy,Full Season,2018
22,Simon Pagenaud,Team Penske,Chevy,Full Season,2018
23,Charlie Kimball,Carlin,Chevy,Full Season,2018
24,Sage Karam,Dreyer & Reinbold Racing,Chevy,Indy 500,2018
25,Stefan Wilson,Andretti Autosport,Honda,Indy 500,2018
26,Zach Veach,Andretti Autosport,Honda,Full Season,2018
27,Alexander Rossi,Andretti Autosport,Honda,Full Season,2018
28,Ryan Hunter-Reay,Andretti Autosport,Honda,Full Season,2018
29,Carlos Munoz,Andretti Autosport,Honda,Indy 500,2018
30,Takuma Sato,Rahal Letterman Lanigan Racing,Honda,Full Season,2018
32,Rene Binder,Juncos Racing,Chevy,STP/BAR/TOR/MOH/BI(x2),2018
32,Alfonso Celis Jr.,Juncos Racing,Chevy,RDA/POR,2018
32,Kyle Kaiser,Juncos Racing,Chevy,PHX/LB/IMS Races,2018
33,James Davison,A.J. Foyt Enterprises/Belardi Auto Racing,Chevy,Indy 500,2018
39,Santino Ferrucci,Dale Coyne Racing,Honda,POR & SON,2018
59,Max Chilton,Carlin,Chevy,Full Season,2018
60,Jack Harvey,Meyer Shank Racing/Schmidt Peterson Motorsports,Honda,Six Races,2018
63,Pippa Mann,Dale Coyne Racing,Honda,Indy 500,2018
64,Oriol Servia,Scuderia Corsa/Rahal Letterman Lanigan Racing,Honda,Indy 500,2018
66,JR Hildebrand,Dreyer & Reinbold Racing,Chevy,Indy 500,2018
88,Gabby Chaves,Harding Racing,Chevy,Full Season (Through Iowa),2018
88,Conor Daly,Harding Racing,Chevy,TOR/MOH/POC,2018
88,Colton Herta,Harding Racing,Chevy,SON,2018
98,Marco Andretti,Andretti Autosport/Bryan Herta Autosport,Honda,Full Season,2018
